Episode,Score,Average_Score
432,256.06396270923517,128.60431522022506
433,191.55918473994754,130.38251115979764
434,142.4537728319536,129.6517329378603
435,186.2240569869266,131.64861938653362
436,275.9241622526167,132.9322834231574
437,253.57824102130746,136.70113335380455
438,243.23508991808322,138.83248256077266
439,266.32191675812777,142.0002950544661
440,240.72332317691766,141.68184702287667
441,241.58653505118255,142.6134121015335
442,212.2786935350667,142.54194119276633
443,198.04094846203043,142.2870878871102
444,-49.38488393042033,140.00371991980495
445,-132.88672768282837,136.92450696170573
446,239.75501535802456,139.74692997594954
447,241.45694700238084,140.04181396538016
448,249.5164839418513,140.57571041763927
449,240.34234311190198,140.7955546206159
450,-73.91035596151201,138.32438915827967
451,202.08101798199147,141.22168973714986
452,159.39266254053518,141.02288314416688
453,187.10230966442072,144.8760721270288
454,203.95819013199173,144.77917328125724
455,-232.20068493975714,140.38035956509302
456,30.56168474752056,140.99137724843467
457,174.91790148865675,140.56471946242374
458,19.556987555932253,139.4024388143145
459,244.25387054838353,141.3192309064174
460,241.85426005321577,141.52495265879708
461,154.06513676033396,141.41273251157133
462,190.6763120521357,140.94312057343134
463,-241.58641865176327,136.61387132158785
464,254.82783816332912,137.49442634166863
465,157.38937473379875,137.4036383036997
466,134.0474121817587,136.67414966467274
467,212.26183710781675,136.4149464539626
468,213.0534734478677,136.59568582024403
469,195.25777665769368,136.86746657774793
470,-111.996003795184,134.0991363558649
471,-53.44191519129825,131.7992050980182
472,215.3351625188977,134.89443279893595
473,282.8497147089257,135.3318001193622
474,236.7270722655595,140.82284296506913
475,150.95448235829676,140.99003587461775
476,268.4819123727924,144.48665306367027
477,229.68040783710413,146.7918507097366
478,174.0635930371917,149.13091919556257
479,189.873995407729,148.9846499729953
480,170.16827065213167,148.72226818930412
481,132.6292270978541,147.36202965506016
482,216.73767463197623,147.5870217760774
483,-182.81738645597983,144.53276463499074
484,-78.8324033793086,141.04071522370288
485,266.9630784226889,144.049676268777
486,-212.69123997477067,139.24640086662316
487,222.55098621451867,139.6205193638215
488,251.8610272613913,143.92699263977386
489,191.30513648122033,144.20446373494266
490,-14.496574098988177,142.17056412724267
491,239.18852485364124,142.44727280285187
492,269.73371067433953,142.87587119439334
493,229.1751567333978,142.79452491317988
494,256.3914334162964,142.7344295907478
495,276.3038045221245,143.44023607006028
496,187.1142950665083,142.6253216644138
497,240.4181663416931,142.86706662397515
498,-91.29783230803523,139.39100911368953
499,167.00464141573096,138.85561218698226
500,218.73468143251046,143.50303082017493
501,187.15802918638866,145.0886914517726
502,243.0536739957005,145.7383084442342
503,291.8589515165572,146.52042177762823
504,214.93597930872946,146.05350439548903
505,176.57402232960655,145.33790898599548
506,289.7791072585344,146.14007333975118
507,168.64944872798029,145.2920034740647
508,177.95752952371353,145.81714525633012
509,239.90951996094083,145.83518036195292
510,248.58158128594772,146.38911543144783
511,265.5831156693662,147.48746043797843
512,195.30899988800843,147.86335931782003
513,235.79579811182484,152.9282292186799
514,215.47838213387934,153.18767189889203
515,-58.32235094946587,149.89330252739637
516,293.4749268995123,153.6971680993384
517,191.05815766658674,155.86077235542314
518,219.7759485607341,155.99220349989616
519,232.77026698946133,156.37912765192314
520,181.43754386959546,155.89115165163116
521,211.55585772550097,159.39090976513071
522,-73.89368749834668,156.2207552771592
523,-111.86370813394045,152.94854451030753
524,-150.4399232798225,149.97308651131473
525,175.25423858157535,152.33257730776754
526,-7.114262519319092,154.93081247889032
527,194.85126489937485,154.5213262552113
528,185.74564733181626,154.25458550767044
529,-87.68980185465276,150.863439645317
530,170.6092512588877,154.2310322602647
531,209.78584118260443,153.90641801656892
532,-108.4400990789091,150.26137739868744
533,209.50900065963725,150.44087555788437
534,195.37298655835815,150.97006769514837
535,172.07344227688785,150.82856154804801
536,-161.48727103994605,146.45444721512237
537,229.2745074910842,146.21140987982014
538,221.6104352635839,145.99516333327517
539,264.15265561382887,145.97347072183214
540,266.492044150012,146.23115793156313
541,-123.35574570209593,142.58173512403033
542,120.17809438394247,141.6607291325191
543,238.6283048977009,142.06660269687578
544,265.65525789798477,145.21700411515982
545,2.4972607019088997,146.57084399900722
546,243.7620970817486,146.61091481624445
547,209.9694929625217,146.29604027584585
548,233.61789441472612,146.1370543805746
549,264.34244657756204,146.3770554152312
550,297.07263408586033,150.08688531570496
551,251.56678835618422,150.5817430194469
552,260.1088466696714,151.5889048607382
553,269.71227413113195,152.41500450540534
554,150.94074886706147,151.88483009275606
555,154.1196903001563,155.7480338451552
556,-71.94164358081116,154.72300056187188
557,283.46295343812733,155.80845108136657
558,154.7458260345433,157.16033946615266
559,-132.08370871746064,153.39696367349424
560,133.2757604513022,152.3111786774751
561,167.55179417256272,152.44604525159738
562,198.39076480408153,152.52318977911688
563,171.85223748031416,156.65757634043766
564,203.83533263947064,156.14765128519903
565,194.26003780077454,156.51635791586878
566,154.10076081296742,156.7168914021809
567,197.52245689608426,156.56949760006353
568,206.6440402656124,156.505403268241
569,281.5620719778656,157.36844622144272
570,266.35987722705613,161.1520050316651
571,245.36130429350288,164.14003722651313
572,167.0664257049791,163.65734985837395
573,-99.3668564624156,159.83518414666057
574,271.4179178451728,160.1820926024567
575,207.64559357092583,160.74900371458295
576,141.7436753630398,159.48162134448543
577,228.5641611789753,159.47045887790415
578,164.22692248663503,159.3720921723986
579,271.3086488208297,160.1864387065296
580,-126.49150460176062,157.21984095399068
581,259.88079615138025,158.49235664452593
582,-69.39790604918099,155.63100083771434
583,151.97831607279994,158.97895786300214
584,234.41306842507925,162.111412581046
585,207.29894057156002,161.51477120253475
586,139.15369724950915,165.03322057477754
587,250.43761148573,165.31208682748965
588,-117.26700064464282,161.62080654842927
589,162.0587325119982,161.32834250873708
590,174.4300901075358,163.21760915080233
591,147.06095124631804,162.2963334147291
592,281.20610967433976,162.4110574047291
593,264.2042162444369,162.76134799983953
594,-66.8142360886739,159.5292913047898
595,264.638988150003,159.4126431410686
596,285.33611793963064,160.3948613697998
597,195.15535493038172,159.9422332556867
598,249.3707018362145,163.3489185971292
599,254.67239070308634,164.22559609000274
600,296.4638216718895,165.00288749239655
601,277.99326389796147,165.91123983951226
602,234.81907879331163,165.82889388748833
603,113.20962597803528,164.04240063210312
604,258.8468331063918,164.48150917007976
605,239.63859331919562,165.11215487997563
606,197.97064851160962,164.1940702925064
607,246.9201956434695,164.9767777616613
